timestamp_pc,elapsed_s,can_id,dlc,data_hex
2026-05-17T13:51:12.294,1.878,0x123,4,01 04 00 A5
2026-05-17T13:51:13.297,2.881,0x123,4,01 04 00 A5
2026-05-17T13:51:14.315,3.899,0x123,4,01 04 00 A5
2026-05-17T13:51:15.333,4.917,0x123,4,01 04 00 A5
2026-05-17T13:51:16.336,5.920,0x123,4,01 04 00 A5
2026-05-17T13:51:17.354,6.938,0x123,4,01 04 00 A5
2026-05-17T13:51:18.365,7.948,0x123,4,01 04 00 A5
2026-05-17T13:51:19.384,8.968,0x123,4,01 04 00 A5
2026-05-17T13:51:20.403,9.987,0x123,4,01 04 00 A5
2026-05-17T13:51:20.403,9.987,0x123,4,01 04 00 A5
2026-05-17T13:51:22.419,12.003,0x123,4,01 04 00 A5
