timestamp_pc,elapsed_s,uart_line
2026-05-13T01:32:12.423,0.250,Telemetry heartbeat
2026-05-13T01:32:13.427,1.254,Telemetry heartbeat
2026-05-13T01:32:14.430,2.256,Telemetry heartbeat
2026-05-13T01:32:15.433,3.260,Telemetry heartbeat
2026-05-13T01:32:16.436,4.262,Telemetry heartbeat
2026-05-13T01:32:17.439,5.265,Telemetry heartbeat
2026-05-13T01:32:18.441,6.267,Telemetry heartbeat
2026-05-13T01:32:19.445,7.272,Telemetry heartbeat
2026-05-13T01:32:20.448,8.275,Telemetry heartbeat
2026-05-13T01:32:21.450,9.277,Telemetry heartbeat
2026-05-13T01:32:22.454,10.281,Telemetry heartbeat
2026-05-13T01:32:23.458,11.285,Telemetry heartbeat
2026-05-13T01:32:24.462,12.289,Telemetry heartbeat
2026-05-13T01:32:25.465,13.292,Telemetry heartbeat
2026-05-13T01:32:26.469,14.296,Telemetry heartbeat
2026-05-13T01:32:27.472,15.299,Telemetry heartbeat
2026-05-13T01:32:28.476,16.302,Telemetry heartbeat
2026-05-13T01:32:29.478,17.305,Telemetry heartbeat
